current_weight,desired_weight,recommended_calories,diet_type,meals,what_to_eat
69.9,61.6,1501,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
106.3,101.5,2404,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
104.9,92.3,2387,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
46.8,59.8,1780,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
50.3,44.1,1038,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
49.7,35.4,942,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
69.9,62.2,1509,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
103.1,107.4,3820,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
67.7,69.3,2490,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
94.9,95.8,3465,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
100.3,110.8,3785,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
78.3,90.6,3072,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
47.1,45.2,948,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
86.6,87.0,3194,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
54.3,43.1,1077,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
65.1,57.2,1464,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
54.1,65.0,2266,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
56.2,44.7,1139,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
72.0,69.6,1512,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
118.5,114.2,2681,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
82.5,96.1,3263,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
65.5,79.5,2688,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
112.2,103.3,2605,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
54.6,61.1,2204,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
59.1,72.5,2322,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
80.3,75.0,1781,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
97.7,93.3,2263,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
56.5,42.5,1155,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
61.9,69.3,2432,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
85.6,71.6,1894,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
106.9,100.4,2391,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
107.8,108.9,4018,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
103.5,116.5,3794,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
60.9,50.4,1227,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
47.5,52.8,2058,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
79.1,67.5,1680,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
54.8,43.5,1126,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
50.9,36.9,1079,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
84.8,87.9,3318,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
112.8,105.2,2611,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
77.6,67.4,1701,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
116.4,115.5,2671,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
87.1,74.4,1943,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
70.8,76.6,2700,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
73.1,85.3,2698,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
95.9,104.4,3628,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
119.0,126.4,4451,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
57.7,70.2,2299,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
51.5,65.2,2168,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
79.4,80.4,2924,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
97.6,110.7,3591,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
91.5,95.4,3451,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
93.9,100.0,3510,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
48.5,50.8,2024,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
102.1,99.2,2438,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
90.9,86.2,2159,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
67.1,77.0,2500,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
55.5,45.8,1092,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
95.0,93.8,2183,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
111.2,124.6,4122,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
48.8,45.2,1119,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
68.1,65.1,1455,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
46.5,41.4,892,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
76.1,89.4,2976,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
109.5,123.5,3994,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
104.2,114.5,3827,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
57.6,70.2,2147,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
117.5,102.6,2698,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
66.6,78.9,2707,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
55.6,46.1,1187,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
67.9,64.9,1483,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
56.5,67.7,2288,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
87.0,75.9,1987,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
62.7,75.2,2336,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
103.0,113.5,3938,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
74.0,74.8,2921,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
94.4,96.1,3490,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
86.5,95.0,3149,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
57.6,69.1,2218,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
60.3,47.9,1229,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
90.9,80.2,2060,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
111.4,120.5,4119,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
106.9,119.4,3871,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
98.0,85.7,2260,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
107.9,101.3,2465,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
64.7,52.1,1363,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
47.3,54.3,1981,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
109.6,114.1,3963,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
71.2,71.1,1604,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
92.9,105.6,3453,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
104.7,98.2,2379,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
96.6,90.5,2277,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
58.1,55.9,1296,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
115.7,109.4,2663,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
56.1,48.9,1116,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
116.7,119.1,4340,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
119.3,106.7,2764,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
88.4,99.5,3359,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
70.9,85.4,2721,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
99.8,108.0,3663,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
64.8,71.4,2551,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
62.5,70.5,2343,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
60.1,51.2,1315,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
87.1,75.6,2006,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
78.5,83.0,3099,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
118.9,118.0,2700,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
115.4,116.0,4432,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
92.7,104.7,3531,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
74.1,89.0,2884,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
72.7,63.4,1694,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
88.4,101.4,3285,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
77.7,84.2,2957,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
86.6,94.1,3189,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
82.7,70.4,1767,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
68.7,79.5,2538,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
113.1,110.7,2702,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
67.8,58.3,1551,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
107.5,102.0,2408,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
102.5,106.5,3945,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
91.0,77.0,2100,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
115.0,106.6,2733,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
73.1,79.4,2857,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
85.9,93.8,3402,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
63.7,49.3,1407,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
102.7,97.3,2427,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
109.5,116.5,4115,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
52.4,63.9,2033,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
89.7,87.0,2010,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
67.2,73.2,2654,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
98.5,101.1,3586,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
81.0,87.3,3208,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
74.8,68.5,1749,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
57.5,54.2,1265,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
116.2,106.7,2616,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
85.9,77.3,1946,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
54.4,42.7,1118,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
92.1,84.8,2197,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
52.4,60.6,2042,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
49.8,52.6,1968,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
52.9,44.3,1179,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
67.7,65.4,1520,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
83.4,89.3,3062,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
84.1,98.3,3147,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
63.5,67.5,2349,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
82.1,72.8,1937,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
50.4,45.4,1149,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
102.9,104.5,3983,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
81.2,78.8,1907,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
78.3,65.6,1718,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
110.6,118.2,4179,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
46.1,53.7,1724,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
102.1,111.3,3812,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
94.7,105.9,3645,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
46.0,51.9,1781,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
45.6,31.9,959,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
117.7,107.5,2824,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
69.7,66.5,1522,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
87.1,79.7,2059,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
46.2,60.3,1952,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
51.3,43.1,1033,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
69.0,64.0,1541,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
83.5,73.2,1795,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
119.8,118.2,2823,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
99.1,92.4,2293,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
85.4,78.4,1925,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
68.6,61.2,1489,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
81.6,75.2,1928,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
105.6,107.4,3950,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
115.8,110.4,2636,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
76.2,62.6,1672,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
112.8,104.4,2670,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
71.1,69.7,1500,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
77.1,62.2,1757,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
113.0,107.6,2719,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
88.3,96.3,3214,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
70.0,69.6,1586,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
90.6,86.8,1985,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
106.2,92.3,2381,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
72.9,80.2,2686,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
89.1,91.1,3335,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
83.4,88.0,3039,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
93.4,94.4,3657,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
114.0,121.9,4117,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
45.9,41.6,952,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
67.6,82.1,2558,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
54.0,59.5,2224,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
98.1,87.0,2232,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
82.1,93.9,3092,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
112.6,101.9,2689,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
95.3,100.0,3494,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
65.1,62.8,1410,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
118.7,110.4,2740,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
76.2,65.8,1621,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
57.1,57.3,2281,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
109.1,104.9,2440,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
62.1,59.2,1415,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
94.6,84.6,2151,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
54.8,50.1,1104,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
83.3,69.2,1812,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
68.7,80.0,2737,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
109.0,99.6,2500,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
105.9,93.5,2459,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
47.0,40.7,878,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
97.3,96.5,2250,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
55.4,61.0,2109,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
88.4,79.0,2027,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
60.3,61.6,2430,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
66.9,56.1,1535,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
59.4,65.9,2392,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
99.1,109.3,3788,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
64.5,64.3,1325,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
55.4,56.1,2331,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
47.9,42.4,913,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
109.8,110.6,4168,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
97.3,90.5,2163,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
52.2,53.7,1949,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
119.2,109.9,2821,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
63.7,75.2,2398,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
100.8,108.2,3795,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
59.0,67.0,2391,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
112.6,124.3,4155,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
66.5,69.6,2461,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
92.3,105.7,3617,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
57.9,62.9,2321,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
113.2,113.0,2682,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
93.6,108.0,3455,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
73.6,71.6,1542,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
74.7,86.4,2733,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
48.6,58.4,2085,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
53.6,59.9,2184,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
108.0,115.0,3968,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
117.7,112.1,2721,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
59.4,52.9,1247,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
50.0,57.4,1911,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
61.9,56.1,1297,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
83.0,94.3,3179,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
99.1,110.0,3765,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
90.0,96.6,3358,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
103.7,107.3,3931,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
65.3,55.2,1475,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
109.5,121.7,4146,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
71.2,84.6,2821,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
118.4,121.6,4532,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
101.4,114.1,3837,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
65.2,74.5,2487,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
49.8,45.4,1083,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
46.2,44.1,1000,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
105.0,99.3,2422,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
72.8,64.8,1658,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
74.1,86.4,2827,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
49.9,37.4,1041,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
62.4,60.6,1260,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
100.6,94.3,2307,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
109.7,104.9,2502,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
85.7,83.5,2030,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
