CurrentWeight,DreamWeight,Goal,monday,tuesday,wednesday,thursday,friday,saturday,sunday
118,103,Lose,Cardio + Legs,Core Focus,Cardio + Legs,Cardio + Abs,Cardio + Abs,Cardio + Abs,Cardio + Legs
74,59,Lose,HIIT + Full Body,Core Focus,Full Body HIIT,Cardio + Core,HIIT + Full Body,Cardio + Legs,Cardio + Legs
63,65,Gain,Back + Biceps,Legs,Full Body Strength,Chest + Biceps,Full Body Strength,Legs,Shoulders + Abs
84,81,Lose,Cardio Endurance,Cardio + Abs,Cardio + Abs,HIIT + Full Body,Cardio Endurance,Cardio Endurance,Core Focus
45,42,Lose,Core Focus,Cardio + Legs,HIIT + Full Body,Cardio + Core,Full Body HIIT,Cardio + Abs,HIIT + Full Body
78,73,Lose,Core Focus,Cardio + Legs,Cardio + Legs,Cardio Endurance,Cardio Endurance,HIIT + Full Body,Cardio Endurance
59,44,Lose,Full Body HIIT,Cardio Endurance,Full Body HIIT,Core Focus,Cardio + Legs,Cardio Endurance,Core Focus
64,67,Gain,Back + Biceps,Glutes + Core,Chest + Triceps,Back + Biceps,Back + Biceps,Chest + Biceps,Full Body Strength
46,36,Lose,Cardio Endurance,Full Body HIIT,HIIT + Full Body,Cardio + Abs,Cardio + Abs,Core Focus,Cardio + Abs
88,91,Gain,Full Body Strength,Legs,Shoulders + Abs,Legs,Glutes + Core,Legs,Chest + Biceps
68,78,Gain,Chest + Biceps,Glutes + Core,Glutes + Core,Glutes + Core,Chest + Triceps,Shoulders + Abs,Back + Biceps
97,103,Gain,Legs,Shoulders + Abs,Shoulders + Abs,Shoulders + Abs,Chest + Triceps,Legs,Chest + Biceps
92,78,Lose,Cardio + Legs,Cardio + Core,Full Body HIIT,Core Focus,HIIT + Full Body,Cardio + Legs,Core Focus
116,124,Gain,Chest + Triceps,Legs,Shoulders + Abs,Chest + Triceps,Shoulders + Abs,Back + Biceps,Back + Biceps
72,81,Gain,Back + Biceps,Shoulders + Abs,Back + Biceps,Legs,Legs,Legs,Chest + Triceps
49,39,Lose,Core Focus,Cardio + Core,HIIT + Full Body,HIIT + Full Body,Cardio + Core,Core Focus,Cardio + Abs
78,93,Gain,Shoulders + Abs,Legs,Legs,Full Body Strength,Shoulders + Abs,Chest + Biceps,Shoulders + Abs
112,106,Lose,Cardio Endurance,Cardio + Core,Cardio + Core,Cardio + Legs,Cardio Endurance,Cardio + Core,Cardio + Abs
59,66,Gain,Full Body Strength,Legs,Shoulders + Abs,Legs,Shoulders + Abs,Full Body Strength,Glutes + Core
113,104,Lose,Full Body HIIT,Cardio + Legs,Cardio Endurance,Cardio + Core,Core Focus,Cardio + Abs,Cardio Endurance
56,48,Lose,HIIT + Full Body,HIIT + Full Body,Cardio Endurance,Cardio Endurance,Cardio Endurance,Core Focus,Cardio + Core
94,82,Lose,Cardio + Core,HIIT + Full Body,Cardio Endurance,Cardio + Legs,HIIT + Full Body,Cardio + Abs,Cardio + Core
104,92,Lose,Cardio + Legs,HIIT + Full Body,Cardio Endurance,Cardio + Abs,Cardio + Legs,Cardio Endurance,Cardio + Legs
73,72,Lose,Cardio Endurance,Core Focus,HIIT + Full Body,HIIT + Full Body,Cardio + Legs,Cardio + Legs,Cardio + Abs
96,108,Gain,Back + Biceps,Full Body Strength,Chest + Triceps,Back + Biceps,Full Body Strength,Full Body Strength,Full Body Strength
45,50,Gain,Glutes + Core,Chest + Triceps,Shoulders + Abs,Glutes + Core,Chest + Biceps,Glutes + Core,Chest + Biceps
74,74,Maintain,Cardio + Flex,Jogging + Core,Cardio + Flex,Strength Light,Strength + Flexibility,Yoga + Full Body,Yoga + Core
87,77,Lose,Cardio + Core,Cardio + Legs,Full Body HIIT,Cardio Endurance,Cardio + Core,Cardio Endurance,Cardio + Legs
86,84,Lose,Full Body HIIT,Cardio Endurance,Full Body HIIT,Cardio + Legs,HIIT + Full Body,Core Focus,Full Body HIIT
51,49,Lose,Cardio + Core,HIIT + Full Body,HIIT + Full Body,Core Focus,Cardio + Core,Cardio + Abs,Core Focus
90,103,Gain,Shoulders + Abs,Chest + Biceps,Full Body Strength,Glutes + Core,Chest + Biceps,Chest + Triceps,Glutes + Core
60,64,Gain,Legs,Chest + Biceps,Chest + Biceps,Back + Biceps,Back + Biceps,Chest + Biceps,Full Body Strength
97,112,Gain,Glutes + Core,Full Body Strength,Chest + Biceps,Full Body Strength,Shoulders + Abs,Back + Biceps,Legs
97,105,Gain,Chest + Triceps,Shoulders + Abs,Back + Biceps,Legs,Legs,Chest + Biceps,Legs
50,38,Lose,Cardio + Abs,Cardio + Abs,Cardio + Legs,Full Body HIIT,Cardio + Abs,HIIT + Full Body,Cardio + Legs
49,52,Gain,Chest + Biceps,Shoulders + Abs,Glutes + Core,Chest + Triceps,Legs,Shoulders + Abs,Legs
104,107,Gain,Chest + Triceps,Shoulders + Abs,Back + Biceps,Full Body Strength,Chest + Triceps,Back + Biceps,Glutes + Core
89,86,Lose,Cardio + Abs,Cardio + Legs,HIIT + Full Body,Core Focus,HIIT + Full Body,Cardio + Legs,HIIT + Full Body
109,96,Lose,Cardio + Abs,Cardio + Abs,HIIT + Full Body,Cardio + Core,Cardio + Legs,Cardio + Legs,Core Focus
95,84,Lose,Cardio + Core,Cardio + Legs,Cardio + Core,Full Body HIIT,Cardio + Core,Cardio + Legs,Full Body HIIT
106,114,Gain,Legs,Chest + Triceps,Back + Biceps,Shoulders + Abs,Legs,Glutes + Core,Legs
77,76,Lose,HIIT + Full Body,Cardio + Core,HIIT + Full Body,Cardio + Abs,Cardio + Abs,Full Body HIIT,HIIT + Full Body
88,101,Gain,Chest + Triceps,Legs,Chest + Triceps,Glutes + Core,Glutes + Core,Glutes + Core,Chest + Biceps
57,52,Lose,Cardio + Core,Cardio + Abs,Cardio + Core,Cardio Endurance,Cardio + Abs,Cardio + Abs,Cardio + Legs
68,83,Gain,Glutes + Core,Chest + Triceps,Back + Biceps,Shoulders + Abs,Chest + Triceps,Back + Biceps,Chest + Triceps
103,106,Gain,Legs,Legs,Shoulders + Abs,Chest + Biceps,Shoulders + Abs,Chest + Triceps,Legs
88,87,Lose,Cardio Endurance,Core Focus,Cardio + Legs,Cardio + Legs,Core Focus,Cardio + Abs,Cardio Endurance
100,105,Gain,Full Body Strength,Shoulders + Abs,Shoulders + Abs,Glutes + Core,Glutes + Core,Glutes + Core,Chest + Triceps
46,35,Lose,HIIT + Full Body,Core Focus,Cardio + Abs,Cardio Endurance,Core Focus,Full Body HIIT,Cardio + Abs
113,114,Gain,Chest + Biceps,Legs,Chest + Triceps,Full Body Strength,Chest + Triceps,Chest + Triceps,Chest + Triceps
78,81,Gain,Chest + Triceps,Chest + Triceps,Chest + Biceps,Shoulders + Abs,Legs,Shoulders + Abs,Chest + Biceps
95,94,Lose,Core Focus,HIIT + Full Body,Cardio + Legs,HIIT + Full Body,HIIT + Full Body,Cardio Endurance,Core Focus
74,67,Lose,Full Body HIIT,Cardio + Core,HIIT + Full Body,Core Focus,Cardio + Core,Cardio + Legs,Cardio + Core
94,108,Gain,Chest + Biceps,Shoulders + Abs,Back + Biceps,Legs,Glutes + Core,Full Body Strength,Full Body Strength
112,115,Gain,Legs,Legs,Legs,Legs,Legs,Legs,Glutes + Core
66,66,Maintain,Strength + Flexibility,Cardio + Flex,Cardio + Flex,Cardio + Flex,Yoga + Full Body,Yoga + Full Body,Strength Light
113,108,Lose,Cardio + Legs,Cardio + Abs,Core Focus,Full Body HIIT,Cardio + Core,Cardio + Core,Cardio + Legs
105,108,Gain,Full Body Strength,Chest + Biceps,Shoulders + Abs,Glutes + Core,Full Body Strength,Legs,Shoulders + Abs
101,94,Lose,Cardio Endurance,Full Body HIIT,Core Focus,Cardio Endurance,HIIT + Full Body,HIIT + Full Body,Cardio + Core
55,61,Gain,Chest + Triceps,Back + Biceps,Chest + Biceps,Legs,Chest + Triceps,Legs,Chest + Biceps
58,56,Lose,HIIT + Full Body,Full Body HIIT,Cardio + Core,Cardio Endurance,Cardio + Core,HIIT + Full Body,Cardio + Core
112,103,Lose,Cardio + Legs,Cardio + Legs,Core Focus,Cardio Endurance,Core Focus,Cardio Endurance,Core Focus
89,76,Lose,Full Body HIIT,Full Body HIIT,Cardio + Legs,Cardio + Abs,Cardio + Abs,Cardio + Core,Core Focus
118,124,Gain,Shoulders + Abs,Back + Biceps,Full Body Strength,Chest + Biceps,Chest + Triceps,Chest + Biceps,Chest + Triceps
72,87,Gain,Back + Biceps,Full Body Strength,Shoulders + Abs,Full Body Strength,Full Body Strength,Full Body Strength,Glutes + Core
101,110,Gain,Legs,Glutes + Core,Chest + Triceps,Chest + Biceps,Glutes + Core,Shoulders + Abs,Chest + Biceps
116,104,Lose,Full Body HIIT,Full Body HIIT,HIIT + Full Body,Full Body HIIT,Cardio + Legs,Core Focus,HIIT + Full Body
55,48,Lose,Cardio Endurance,Cardio + Abs,Full Body HIIT,Cardio + Core,Cardio Endurance,Core Focus,Cardio + Core
63,66,Gain,Full Body Strength,Glutes + Core,Back + Biceps,Legs,Full Body Strength,Glutes + Core,Chest + Triceps
75,71,Lose,Cardio + Abs,Cardio + Abs,Full Body HIIT,Cardio + Abs,Cardio + Abs,Cardio Endurance,Cardio Endurance
120,116,Lose,Cardio Endurance,Cardio + Abs,Cardio Endurance,HIIT + Full Body,Cardio + Legs,Core Focus,Core Focus
116,120,Gain,Glutes + Core,Full Body Strength,Chest + Biceps,Legs,Shoulders + Abs,Shoulders + Abs,Back + Biceps
57,46,Lose,Cardio Endurance,HIIT + Full Body,Cardio + Abs,Full Body HIIT,Core Focus,Cardio + Core,Core Focus
80,67,Lose,Cardio + Core,Full Body HIIT,Cardio + Legs,Core Focus,HIIT + Full Body,Cardio + Abs,Cardio + Core
106,100,Lose,Cardio + Core,Cardio + Legs,Cardio + Core,Cardio + Abs,Cardio + Core,Core Focus,Cardio + Core
73,76,Gain,Full Body Strength,Full Body Strength,Shoulders + Abs,Shoulders + Abs,Chest + Biceps,Glutes + Core,Chest + Biceps
52,52,Maintain,Strength + Flexibility,HIIT + Core,HIIT + Core,Cardio + Flex,Yoga + Core,Jogging + Core,Yoga + Core
52,52,Maintain,Yoga + Full Body,Cardio + Flex,Strength + Flexibility,Cardio + Flex,Strength + Flexibility,Cardio + Flex,Strength Light
93,86,Lose,HIIT + Full Body,Cardio + Core,HIIT + Full Body,Cardio + Abs,Cardio Endurance,HIIT + Full Body,Cardio + Legs
115,106,Lose,Cardio Endurance,Core Focus,Cardio Endurance,Cardio + Core,HIIT + Full Body,Cardio Endurance,Cardio + Legs
49,49,Maintain,Strength Light,Yoga + Core,Strength Light,Jogging + Core,Strength Light,Cardio + Flex,Strength + Flexibility
60,50,Lose,Cardio + Core,HIIT + Full Body,Core Focus,Cardio + Legs,Cardio Endurance,Full Body HIIT,HIIT + Full Body
85,94,Gain,Back + Biceps,Legs,Shoulders + Abs,Back + Biceps,Back + Biceps,Chest + Biceps,Full Body Strength
75,90,Gain,Shoulders + Abs,Legs,Full Body Strength,Full Body Strength,Shoulders + Abs,Full Body Strength,Chest + Biceps
112,109,Lose,Cardio Endurance,Cardio + Legs,HIIT + Full Body,HIIT + Full Body,Cardio + Core,Cardio + Abs,Cardio + Core
79,75,Lose,Cardio + Legs,Cardio + Abs,Full Body HIIT,Cardio Endurance,Full Body HIIT,Cardio Endurance,Cardio + Core
88,97,Gain,Legs,Chest + Biceps,Glutes + Core,Chest + Biceps,Chest + Biceps,Glutes + Core,Glutes + Core
105,115,Gain,Chest + Biceps,Chest + Biceps,Full Body Strength,Glutes + Core,Chest + Biceps,Legs,Full Body Strength
74,65,Lose,Cardio + Legs,Core Focus,Cardio + Abs,Cardio Endurance,HIIT + Full Body,Core Focus,Cardio + Legs
90,76,Lose,Cardio + Legs,HIIT + Full Body,Cardio Endurance,HIIT + Full Body,Cardio + Abs,Core Focus,Cardio + Abs
80,67,Lose,Cardio + Legs,Cardio Endurance,Cardio + Core,Core Focus,Cardio + Abs,Full Body HIIT,Full Body HIIT
71,59,Lose,Full Body HIIT,Cardio + Core,Cardio + Abs,Cardio Endurance,HIIT + Full Body,Cardio + Legs,Cardio + Legs
80,88,Gain,Legs,Chest + Triceps,Shoulders + Abs,Chest + Biceps,Full Body Strength,Legs,Shoulders + Abs
83,70,Lose,HIIT + Full Body,Full Body HIIT,Full Body HIIT,Cardio Endurance,HIIT + Full Body,Cardio Endurance,Cardio + Core
54,43,Lose,Cardio + Legs,HIIT + Full Body,Full Body HIIT,Cardio + Core,HIIT + Full Body,Cardio + Core,Full Body HIIT
61,75,Gain,Full Body Strength,Chest + Biceps,Back + Biceps,Chest + Biceps,Chest + Triceps,Chest + Triceps,Full Body Strength
78,83,Gain,Legs,Glutes + Core,Shoulders + Abs,Glutes + Core,Chest + Triceps,Full Body Strength,Legs
46,57,Gain,Back + Biceps,Full Body Strength,Glutes + Core,Back + Biceps,Chest + Biceps,Full Body Strength,Back + Biceps
75,74,Lose,Full Body HIIT,Core Focus,Cardio Endurance,Cardio + Core,Cardio + Legs,Full Body HIIT,HIIT + Full Body
67,71,Gain,Chest + Biceps,Chest + Biceps,Back + Biceps,Chest + Triceps,Full Body Strength,Legs,Glutes + Core
108,119,Gain,Full Body Strength,Glutes + Core,Chest + Biceps,Chest + Biceps,Chest + Biceps,Full Body Strength,Legs
69,63,Lose,Cardio Endurance,Cardio + Core,Cardio + Core,HIIT + Full Body,Core Focus,Cardio + Core,Cardio + Core
75,72,Lose,Cardio + Core,HIIT + Full Body,Cardio + Legs,Cardio Endurance,Core Focus,Cardio Endurance,Core Focus
50,54,Gain,Chest + Triceps,Legs,Shoulders + Abs,Chest + Triceps,Shoulders + Abs,Glutes + Core,Shoulders + Abs
46,43,Lose,HIIT + Full Body,HIIT + Full Body,Cardio Endurance,Cardio + Core,Core Focus,HIIT + Full Body,Cardio + Legs
102,104,Gain,Glutes + Core,Back + Biceps,Back + Biceps,Shoulders + Abs,Chest + Triceps,Legs,Glutes + Core
64,75,Gain,Glutes + Core,Shoulders + Abs,Glutes + Core,Legs,Legs,Full Body Strength,Legs
97,93,Lose,HIIT + Full Body,Cardio + Abs,Core Focus,HIIT + Full Body,Cardio + Core,Core Focus,Cardio + Core
103,99,Lose,Full Body HIIT,Cardio + Core,Full Body HIIT,Cardio + Core,Cardio + Core,Full Body HIIT,Full Body HIIT
112,114,Gain,Back + Biceps,Legs,Back + Biceps,Shoulders + Abs,Legs,Legs,Chest + Biceps
109,113,Gain,Chest + Triceps,Chest + Biceps,Shoulders + Abs,Shoulders + Abs,Full Body Strength,Chest + Biceps,Chest + Triceps
61,51,Lose,HIIT + Full Body,Full Body HIIT,Full Body HIIT,HIIT + Full Body,Cardio Endurance,HIIT + Full Body,Core Focus
108,119,Gain,Chest + Triceps,Glutes + Core,Glutes + Core,Back + Biceps,Legs,Full Body Strength,Chest + Biceps
99,111,Gain,Shoulders + Abs,Shoulders + Abs,Glutes + Core,Glutes + Core,Legs,Chest + Biceps,Legs
102,99,Lose,Cardio Endurance,Cardio + Legs,Cardio + Core,Cardio + Core,Full Body HIIT,Core Focus,Cardio + Legs
120,110,Lose,HIIT + Full Body,HIIT + Full Body,HIIT + Full Body,Cardio Endurance,Cardio + Abs,HIIT + Full Body,Full Body HIIT
58,48,Lose,Cardio + Legs,Cardio + Legs,Cardio + Abs,Cardio + Legs,Cardio Endurance,Cardio + Core,HIIT + Full Body
112,120,Gain,Back + Biceps,Chest + Triceps,Glutes + Core,Chest + Biceps,Legs,Shoulders + Abs,Back + Biceps
85,85,Maintain,Cardio + Flex,Strength + Flexibility,Strength Light,Strength + Flexibility,Yoga + Full Body,Strength Light,Jogging + Core
74,79,Gain,Chest + Triceps,Shoulders + Abs,Back + Biceps,Back + Biceps,Full Body Strength,Back + Biceps,Chest + Biceps
118,124,Gain,Chest + Triceps,Back + Biceps,Shoulders + Abs,Legs,Chest + Biceps,Shoulders + Abs,Back + Biceps
95,86,Lose,Cardio Endurance,Cardio + Legs,Cardio + Legs,Full Body HIIT,Core Focus,Cardio + Core,Cardio Endurance
58,59,Gain,Back + Biceps,Chest + Triceps,Chest + Biceps,Full Body Strength,Chest + Triceps,Full Body Strength,Back + Biceps
60,56,Lose,Cardio Endurance,Cardio + Core,Full Body HIIT,Core Focus,Cardio + Abs,Full Body HIIT,Cardio Endurance
69,66,Lose,Cardio + Core,Cardio Endurance,Core Focus,Cardio + Legs,Cardio + Legs,Cardio Endurance,Cardio + Legs
67,81,Gain,Shoulders + Abs,Chest + Biceps,Chest + Triceps,Glutes + Core,Glutes + Core,Legs,Back + Biceps
60,69,Gain,Chest + Triceps,Chest + Triceps,Glutes + Core,Legs,Full Body Strength,Chest + Biceps,Legs
109,122,Gain,Chest + Biceps,Full Body Strength,Chest + Triceps,Chest + Triceps,Glutes + Core,Shoulders + Abs,Chest + Biceps
101,101,Maintain,Strength Light,Yoga + Core,Jogging + Core,Jogging + Core,Yoga + Full Body,Strength + Flexibility,Strength + Flexibility
53,45,Lose,Cardio + Legs,Cardio + Core,Cardio Endurance,Cardio Endurance,Cardio + Abs,Cardio + Abs,Core Focus
61,63,Gain,Full Body Strength,Glutes + Core,Chest + Triceps,Back + Biceps,Chest + Triceps,Full Body Strength,Shoulders + Abs
65,66,Gain,Glutes + Core,Back + Biceps,Back + Biceps,Legs,Full Body Strength,Chest + Biceps,Full Body Strength
118,119,Gain,Shoulders + Abs,Legs,Chest + Triceps,Chest + Biceps,Glutes + Core,Chest + Biceps,Glutes + Core
89,102,Gain,Chest + Triceps,Legs,Shoulders + Abs,Legs,Full Body Strength,Legs,Glutes + Core
56,41,Lose,Cardio + Abs,Full Body HIIT,Cardio + Abs,Core Focus,Cardio + Abs,Full Body HIIT,Cardio Endurance
99,107,Gain,Glutes + Core,Chest + Triceps,Shoulders + Abs,Chest + Biceps,Chest + Triceps,Full Body Strength,Chest + Biceps
107,95,Lose,Full Body HIIT,Full Body HIIT,HIIT + Full Body,Full Body HIIT,HIIT + Full Body,Cardio + Abs,Cardio + Core
89,84,Lose,Cardio + Core,Cardio + Legs,Cardio + Legs,Core Focus,Cardio + Abs,Full Body HIIT,Core Focus
115,107,Lose,Cardio + Core,Cardio + Core,Full Body HIIT,Cardio + Core,HIIT + Full Body,Cardio Endurance,Cardio + Core
48,57,Gain,Glutes + Core,Chest + Biceps,Glutes + Core,Chest + Triceps,Chest + Biceps,Glutes + Core,Chest + Triceps
77,90,Gain,Back + Biceps,Chest + Triceps,Legs,Chest + Triceps,Back + Biceps,Shoulders + Abs,Chest + Biceps
49,42,Lose,Cardio + Legs,Full Body HIIT,Cardio + Core,HIIT + Full Body,Cardio + Abs,Core Focus,Cardio + Abs
55,40,Lose,Cardio + Abs,Cardio + Abs,Cardio + Legs,Core Focus,HIIT + Full Body,Full Body HIIT,Core Focus
49,48,Lose,Cardio Endurance,Cardio + Abs,Cardio + Core,Cardio + Core,Cardio + Abs,Full Body HIIT,Core Focus
82,72,Lose,Cardio + Legs,Cardio Endurance,HIIT + Full Body,Core Focus,Cardio + Core,Cardio Endurance,Cardio + Abs
91,77,Lose,Core Focus,Full Body HIIT,HIIT + Full Body,Cardio + Abs,Full Body HIIT,Cardio + Abs,Cardio + Legs
76,89,Gain,Legs,Chest + Triceps,Shoulders + Abs,Full Body Strength,Back + Biceps,Chest + Biceps,Shoulders + Abs
112,100,Lose,Core Focus,HIIT + Full Body,Full Body HIIT,Core Focus,Core Focus,Cardio Endurance,Cardio Endurance
80,70,Lose,Cardio + Legs,Core Focus,Cardio + Core,Cardio + Abs,Cardio Endurance,Full Body HIIT,Cardio + Abs
54,53,Lose,Cardio + Legs,Cardio Endurance,Cardio + Abs,Core Focus,Core Focus,Cardio Endurance,Core Focus
59,61,Gain,Back + Biceps,Full Body Strength,Chest + Biceps,Legs,Chest + Biceps,Full Body Strength,Shoulders + Abs
45,56,Gain,Legs,Full Body Strength,Legs,Full Body Strength,Back + Biceps,Chest + Biceps,Legs
86,98,Gain,Back + Biceps,Back + Biceps,Shoulders + Abs,Legs,Chest + Triceps,Shoulders + Abs,Chest + Triceps
66,64,Lose,HIIT + Full Body,Full Body HIIT,Cardio + Abs,Cardio Endurance,Full Body HIIT,Full Body HIIT,Cardio + Core
93,104,Gain,Shoulders + Abs,Glutes + Core,Shoulders + Abs,Back + Biceps,Back + Biceps,Chest + Triceps,Back + Biceps
61,63,Gain,Shoulders + Abs,Chest + Biceps,Legs,Legs,Back + Biceps,Glutes + Core,Shoulders + Abs
53,60,Gain,Chest + Biceps,Chest + Biceps,Legs,Legs,Legs,Full Body Strength,Back + Biceps
109,104,Lose,Core Focus,Cardio + Core,Cardio + Abs,HIIT + Full Body,Cardio Endurance,Cardio Endurance,Full Body HIIT
54,42,Lose,Core Focus,Cardio + Legs,Full Body HIIT,Cardio Endurance,Core Focus,HIIT + Full Body,Full Body HIIT
75,74,Lose,HIIT + Full Body,Cardio + Core,Cardio + Core,HIIT + Full Body,Cardio + Core,Cardio + Abs,Core Focus
81,70,Lose,Full Body HIIT,Cardio + Abs,Cardio + Core,Cardio Endurance,Cardio Endurance,Cardio Endurance,Cardio Endurance
110,102,Lose,Cardio + Abs,Full Body HIIT,Cardio + Legs,Cardio + Core,Cardio + Legs,Core Focus,Cardio + Legs
67,52,Lose,Core Focus,Cardio + Abs,Cardio + Core,Cardio + Legs,Cardio + Core,Full Body HIIT,Core Focus
84,76,Lose,Cardio Endurance,Core Focus,HIIT + Full Body,Core Focus,Core Focus,Cardio + Core,Cardio + Abs
83,89,Gain,Chest + Triceps,Shoulders + Abs,Chest + Biceps,Chest + Biceps,Full Body Strength,Chest + Triceps,Full Body Strength
84,87,Gain,Back + Biceps,Full Body Strength,Shoulders + Abs,Chest + Triceps,Chest + Triceps,Chest + Biceps,Chest + Biceps
92,105,Gain,Full Body Strength,Legs,Glutes + Core,Legs,Full Body Strength,Full Body Strength,Full Body Strength
96,100,Gain,Shoulders + Abs,Legs,Shoulders + Abs,Chest + Biceps,Full Body Strength,Shoulders + Abs,Back + Biceps
117,118,Gain,Shoulders + Abs,Legs,Back + Biceps,Shoulders + Abs,Full Body Strength,Chest + Triceps,Chest + Triceps
114,113,Lose,Cardio + Core,HIIT + Full Body,Full Body HIIT,Cardio + Core,Cardio + Core,Full Body HIIT,Full Body HIIT
53,54,Gain,Chest + Triceps,Shoulders + Abs,Shoulders + Abs,Full Body Strength,Shoulders + Abs,Legs,Legs
113,122,Gain,Full Body Strength,Full Body Strength,Back + Biceps,Chest + Biceps,Full Body Strength,Back + Biceps,Legs
114,102,Lose,Cardio + Abs,Cardio + Abs,Cardio Endurance,Core Focus,Cardio + Legs,Cardio Endurance,Core Focus
95,110,Gain,Shoulders + Abs,Full Body Strength,Glutes + Core,Back + Biceps,Full Body Strength,Chest + Triceps,Glutes + Core
99,104,Gain,Chest + Triceps,Back + Biceps,Chest + Biceps,Chest + Triceps,Shoulders + Abs,Full Body Strength,Full Body Strength
70,63,Lose,Full Body HIIT,Cardio + Core,HIIT + Full Body,Full Body HIIT,Core Focus,Cardio + Legs,Cardio + Core
72,65,Lose,Cardio + Abs,HIIT + Full Body,Cardio + Legs,Cardio Endurance,Full Body HIIT,HIIT + Full Body,Cardio + Abs
101,105,Gain,Legs,Chest + Biceps,Back + Biceps,Chest + Triceps,Glutes + Core,Chest + Triceps,Shoulders + Abs
95,89,Lose,Cardio + Legs,Cardio + Core,Cardio + Core,HIIT + Full Body,Cardio + Abs,Full Body HIIT,Cardio + Legs
96,101,Gain,Chest + Triceps,Back + Biceps,Glutes + Core,Glutes + Core,Legs,Legs,Chest + Biceps
59,49,Lose,Cardio + Legs,Full Body HIIT,Cardio + Legs,Full Body HIIT,Cardio + Core,HIIT + Full Body,Cardio + Abs
55,43,Lose,Core Focus,HIIT + Full Body,Full Body HIIT,Cardio + Legs,Cardio + Core,HIIT + Full Body,Cardio + Legs
54,54,Maintain,HIIT + Core,Strength Light,Yoga + Core,Strength Light,Cardio + Flex,Yoga + Full Body,Yoga + Core
73,76,Gain,Shoulders + Abs,Shoulders + Abs,Full Body Strength,Full Body Strength,Full Body Strength,Glutes + Core,Shoulders + Abs
108,97,Lose,Cardio Endurance,Full Body HIIT,Full Body HIIT,Full Body HIIT,Cardio + Legs,Cardio + Legs,Core Focus
77,84,Gain,Full Body Strength,Back + Biceps,Glutes + Core,Legs,Back + Biceps,Glutes + Core,Glutes + Core
70,82,Gain,Full Body Strength,Back + Biceps,Full Body Strength,Glutes + Core,Shoulders + Abs,Back + Biceps,Shoulders + Abs
95,80,Lose,Cardio + Legs,Cardio + Abs,Cardio + Abs,Cardio + Core,Cardio + Core,Core Focus,Cardio Endurance
58,49,Lose,Cardio + Abs,HIIT + Full Body,Core Focus,Cardio + Legs,Cardio + Legs,HIIT + Full Body,HIIT + Full Body
49,55,Gain,Shoulders + Abs,Full Body Strength,Chest + Triceps,Full Body Strength,Full Body Strength,Shoulders + Abs,Shoulders + Abs
91,83,Lose,Cardio + Core,HIIT + Full Body,Cardio + Core,Full Body HIIT,Cardio + Abs,HIIT + Full Body,Full Body HIIT
80,81,Gain,Chest + Triceps,Legs,Legs,Chest + Triceps,Shoulders + Abs,Back + Biceps,Back + Biceps
110,111,Gain,Shoulders + Abs,Back + Biceps,Glutes + Core,Shoulders + Abs,Back + Biceps,Full Body Strength,Chest + Triceps
46,39,Lose,Full Body HIIT,Cardio + Legs,Cardio + Legs,Cardio + Core,HIIT + Full Body,Cardio + Core,Cardio Endurance
64,56,Lose,Cardio + Core,Cardio + Core,Cardio + Legs,Cardio Endurance,Cardio Endurance,Cardio + Core,Cardio + Legs
46,59,Gain,Back + Biceps,Full Body Strength,Chest + Biceps,Chest + Biceps,Full Body Strength,Legs,Glutes + Core
83,76,Lose,Core Focus,Cardio Endurance,Cardio + Legs,Cardio Endurance,Full Body HIIT,Core Focus,Cardio + Core
89,89,Maintain,Jogging + Core,Strength + Flexibility,Jogging + Core,Strength Light,Strength Light,Yoga + Core,Strength + Flexibility
76,66,Lose,Cardio Endurance,Core Focus,Full Body HIIT,Cardio Endurance,Cardio + Legs,Cardio + Legs,Cardio + Core
84,98,Gain,Chest + Biceps,Full Body Strength,Back + Biceps,Full Body Strength,Legs,Legs,Shoulders + Abs
95,83,Lose,Cardio + Legs,Cardio + Legs,Cardio Endurance,Full Body HIIT,Cardio + Legs,Cardio + Abs,Core Focus
119,106,Lose,Cardio Endurance,Cardio + Core,Cardio Endurance,Core Focus,Cardio + Abs,HIIT + Full Body,Cardio + Abs
61,72,Gain,Full Body Strength,Chest + Triceps,Legs,Full Body Strength,Full Body Strength,Back + Biceps,Back + Biceps
110,110,Maintain,Strength Light,Yoga + Core,Jogging + Core,Yoga + Core,HIIT + Core,Cardio + Flex,Strength Light
67,69,Gain,Chest + Triceps,Full Body Strength,Shoulders + Abs,Chest + Triceps,Glutes + Core,Chest + Biceps,Chest + Biceps
64,75,Gain,Glutes + Core,Legs,Full Body Strength,Chest + Triceps,Shoulders + Abs,Chest + Biceps,Shoulders + Abs
103,88,Lose,Core Focus,Cardio + Legs,Full Body HIIT,Full Body HIIT,Cardio + Abs,Full Body HIIT,HIIT + Full Body
49,47,Lose,Cardio + Abs,Core Focus,Cardio + Core,Cardio Endurance,Full Body HIIT,HIIT + Full Body,Full Body HIIT
88,94,Gain,Legs,Chest + Triceps,Legs,Chest + Biceps,Back + Biceps,Legs,Back + Biceps
90,76,Lose,Cardio Endurance,Cardio + Abs,Cardio + Core,Cardio + Legs,Cardio Endurance,Cardio + Abs,Core Focus
56,67,Gain,Legs,Chest + Triceps,Back + Biceps,Full Body Strength,Glutes + Core,Shoulders + Abs,Chest + Biceps
